UserID,LastName,FisrtName,UserFullName,Roll1,Roll2,Roll3,Roll4,Roll5,Roll6,Amount1,Amount2,Amount3,Amount4,TOTAL
25,"AutoBotLastName25","AutoBotFirstName25","AutoBotFirstName25 AutoBotLastName25",5,6,3,4,5,4,0,0,2.0,4.0,6.00
26,"AutoBotLastName26","AutoBotFirstName26","AutoBotFirstName26 AutoBotLastName26",1,2,2,5,2,5,0,11.807999999999996,2.0,2.0,15.75
27,"AutoBotLastName27","AutoBotFirstName27","AutoBotFirstName27 AutoBotLastName27",4,3,2,1,4,5,0,0,2.0,0.0,2.00
28,"AutoBotLastName28","AutoBotFirstName28","AutoBotFirstName28 AutoBotLastName28",3,5,5,1,2,5,0,0,0.0,2.0,2.00
29,"AutoBotLastName29","AutoBotFirstName29","AutoBotFirstName29 AutoBotLastName29",6,2,6,4,2,3,0,0,0.0,0.0,0.00
30,"AutoBotLastName30","AutoBotFirstName30","AutoBotFirstName30 AutoBotLastName30",3,1,1,2,2,5,2.3962975206611614,19.984743764172336,2.0,2.0,26.50
31,"AutoBotLastName31","AutoBotFirstName31","AutoBotFirstName31 AutoBotLastName31",3,2,2,2,6,4,0,0,2.0,0.0,2.00
32,"AutoBotLastName32","AutoBotFirstName32","AutoBotFirstName32 AutoBotLastName32",4,5,4,3,4,1,19.853061224489792,0,0.0,0.0,19.75
33,"AutoBotLastName33","AutoBotFirstName33","AutoBotFirstName33 AutoBotLastName33",4,1,3,5,5,2,0,0,0.0,4.0,4.00
34,"AutoBotLastName34","AutoBotFirstName34","AutoBotFirstName34 AutoBotLastName34",4,5,6,3,6,4,0,0,4.0,2.0,6.00
35,"AutoBotLastName35","AutoBotFirstName35","AutoBotFirstName35 AutoBotLastName35",3,4,5,6,2,4,0,0,0.0,2.0,2.00
36,"AutoBotLastName36","AutoBotFirstName36","AutoBotFirstName36 AutoBotLastName36",3,2,4,3,3,3,0,15.391999999999992,2.0,2.0,19.50
37,"AutoBotLastName37","AutoBotFirstName37","AutoBotFirstName37 AutoBotLastName37",5,3,4,2,5,4,0,14.742214876033067,4.0,0.0,18.75
38,"AutoBotLastName38","AutoBotFirstName38","AutoBotFirstName38 AutoBotLastName38",5,5,4,5,3,5,0,11.288,4.0,2.0,17.25
39,"AutoBotLastName39","AutoBotFirstName39","AutoBotFirstName39 AutoBotLastName39",5,4,5,5,6,4,0,0,0.0,4.0,4.00
40,"AutoBotLastName40","AutoBotFirstName40","AutoBotFirstName40 AutoBotLastName40",4,1,4,5,1,4,0,18.82964172335601,0.0,2.0,20.75
