UserID,LastName,FisrtName,UserFullName,Roll1,Roll2,Roll3,Roll4,Roll5,Roll6,Amount1,Amount2,Amount3,Amount4,TOTAL
13,"AutoBotLastName13","AutoBotFirstName13","AutoBotFirstName13 AutoBotLastName13",3,3,3,4,5,4,0,5.1620246913580194,2.0,0.0,7.25
14,"AutoBotLastName14","AutoBotFirstName14","AutoBotFirstName14 AutoBotLastName14",6,3,4,1,3,2,7.748066115702478,5.525876543209874,0.0,2.0,15.25
15,"AutoBotLastName15","AutoBotFirstName15","AutoBotFirstName15 AutoBotLastName15",3,6,1,3,4,4,3.0353388429752117,0,2.0,0.0,5.00
16,"AutoBotLastName16","AutoBotFirstName16","AutoBotFirstName16 AutoBotLastName16",4,4,3,6,4,3,0,0,2.0,2.0,4.00
17,"AutoBotLastName17","AutoBotFirstName17","AutoBotFirstName17 AutoBotLastName17",5,5,4,3,5,5,0,0,0.0,4.0,4.00
18,"AutoBotLastName18","AutoBotFirstName18","AutoBotFirstName18 AutoBotLastName18",1,4,2,5,5,1,8.392371882086165,0,2.0,2.0,12.50
19,"AutoBotLastName19","AutoBotFirstName19","AutoBotFirstName19 AutoBotLastName19",5,6,3,4,4,5,0,7.696000000000003,2.0,0.0,9.75
20,"AutoBotLastName20","AutoBotFirstName20","AutoBotFirstName20 AutoBotLastName20",3,2,3,2,5,4,0,0,2.0,4.0,6.00
21,"GhostLastName47.80.75.81(21)","GhostFirstName47.80.75.81(21)","GhostFirstName47.80.75.81(21) GhostLastName47.80.75.81(21)",5,3,3,5,6,6,0.0,9.833355371900826,2.0,1.0,12.75
22,"AutoBotLastName22","AutoBotFirstName22","AutoBotFirstName22 AutoBotLastName22",4,4,2,6,4,3,0,9.503346938775508,2.0,2.0,13.50
23,"AutoBotLastName23","AutoBotFirstName23","AutoBotFirstName23 AutoBotLastName23",3,5,3,4,4,3,9.984,0,2.0,4.0,16.00
24,"AutoBotLastName24","AutoBotFirstName24","AutoBotFirstName24 AutoBotLastName24",5,1,4,6,1,3,0,0,0.0,2.0,2.00
25,"AutoBotLastName25","AutoBotFirstName25","AutoBotFirstName25 AutoBotLastName25",3,2,4,3,6,3,0,0,2.0,0.0,2.00
26,"AutoBotLastName26","AutoBotFirstName26","AutoBotFirstName26 AutoBotLastName26",5,5,4,5,2,2,0,0,4.0,2.0,6.00
27,"AutoBotLastName27","AutoBotFirstName27","AutoBotFirstName27 AutoBotLastName27",2,3,3,2,3,6,0.3960000000000008,0,2.0,0.0,2.50
28,"AutoBotLastName28","AutoBotFirstName28","AutoBotFirstName28 AutoBotLastName28",1,6,2,3,2,4,2.439283446712015,0,2.0,0.0,4.50
29,"AutoBotLastName29","AutoBotFirstName29","AutoBotFirstName29 AutoBotLastName29",5,6,4,2,2,4,0,0,2.0,2.0,4.00
30,"AutoBotLastName30","AutoBotFirstName30","AutoBotFirstName30 AutoBotLastName30",5,3,2,5,1,5,0,5.595867768595042,2.0,2.0,9.50
31,"AutoBotLastName31","AutoBotFirstName31","AutoBotFirstName31 AutoBotLastName31",2,5,2,5,1,6,0,7.084000000000001,2.0,2.0,11.00
32,"AutoBotLastName32","AutoBotFirstName32","AutoBotFirstName32 AutoBotLastName32",1,6,2,2,3,5,0,0,2.0,2.0,4.00
33,"AutoBotLastName33","AutoBotFirstName33","AutoBotFirstName33 AutoBotLastName33",4,3,5,3,3,5,9.731664399092969,0,4.0,2.0,15.75
34,"AutoBotLastName34","AutoBotFirstName34","AutoBotFirstName34 AutoBotLastName34",6,6,2,1,3,2,0,0,2.0,2.0,4.00
35,"AutoBotLastName35","AutoBotFirstName35","AutoBotFirstName35 AutoBotLastName35",2,2,3,5,4,4,0,0,2.0,2.0,4.00
36,"AutoBotLastName36","AutoBotFirstName36","AutoBotFirstName36 AutoBotLastName36",4,5,3,2,2,3,8.36937868480725,0,2.0,2.0,12.25
37,"AutoBotLastName37","AutoBotFirstName37","AutoBotFirstName37 AutoBotLastName37",5,2,5,2,3,3,0,0,0.0,2.0,2.00
38,"AutoBotLastName38","AutoBotFirstName38","AutoBotFirstName38 AutoBotLastName38",4,5,4,3,2,3,0,0,2.0,0.0,2.00
39,"AutoBotLastName39","AutoBotFirstName39","AutoBotFirstName39 AutoBotLastName39",3,5,4,4,5,5,3.2461487603305796,0,0.0,0.0,3.25
40,"AutoBotLastName40","AutoBotFirstName40","AutoBotFirstName40 AutoBotLastName40",3,6,3,4,5,2,5.775000000000004,0,0.0,2.0,7.75
